Username,Username_Follower,Num_Followers,First_Digit
nayeli.nxx,ricardo_4v0,,
nayeli.nxx,juanpap19_,,
nayeli.nxx,_miily_n_,,
nayeli.nxx,alexander_dominguez_22,,
nayeli.nxx,kendrypaez.10,,
nayeli.nxx,vanem._20,,
nayeli.nxx,dayana_1630,,
nayeli.nxx,jonathancruzjc7,,
nayeli.nxx,dennis.alexis.980,,
nayeli.nxx,luckra,,
nayeli.nxx,gonzaloplata,,
nayeli.nxx,mg_argoti,,
nayeli.nxx,jhonatan._.mateo,,
nayeli.nxx,moises_caicedo55,,
nayeli.nxx,pcorcino,,
nayeli.nxx,efimeroescrito,,
nayeli.nxx,luisandreluna01,,
nayeli.nxx,drewraytanner,,
nayeli.nxx,mateo.balseca,,
nayeli.nxx,jhoanlopez,,
nayeli.nxx,karelii.24,,
nayeli.nxx,manos_divinas_spa,,
nayeli.nxx,av25clubdeportivo,,
nayeli.nxx,michaelbjordan,,
nayeli.nxx,dfhn.8,,
nayeli.nxx,leomessi,,
nayeli.nxx,feid,,
nayeli.nxx,kevinjoel_1930,,
nayeli.nxx,karolg,,
nayeli.nxx,alerivadeneyra,,
nayeli.nxx,mario_houses,,
nayeli.nxx,vindiesel,,
nayeli.nxx,georginagio,,
nayeli.nxx,jeami_05,,
nayeli.nxx,lennytavarez,,
nayeli.nxx,adele,,
nayeli.nxx,faisirrito,,
nayeli.nxx,soymajoreina,,
nayeli.nxx,aventura,,
nayeli.nxx,kevin.david.13,,
nayeli.nxx,haileesteinfeld,,
nayeli.nxx,edumarurip,,
nayeli.nxx,donomar,,
nayeli.nxx,alexx_andy3216,,
nayeli.nxx,domelipa,,
nayeli.nxx,_rauwalejandro___,,
nayeli.nxx,cristhian_noboa,,
nayeli.nxx,tipsyoficialec,,
nayeli.nxx,natashanazario,,
nayeli.nxx,angelito_mena_,,
nayeli.nxx,el_suave_cito,,
nayeli.nxx,willevy,,
nayeli.nxx,gabydiazaragon,,
nayeli.nxx,jorge.rausch,,
nayeli.nxx,thedonato,,
nayeli.nxx,malexaleon,,
nayeli.nxx,itzan.escamilla,,
nayeli.nxx,jimena.jimenezr,,
nayeli.nxx,joseandrescaballero,,
nayeli.nxx,juanpazurita,,
nayeli.nxx,sebastianmartinezn,,
nayeli.nxx,maybet.x,,
nayeli.nxx,antoniovalencia2525,,
nayeli.nxx,danilocarrerah,,
nayeli.nxx,johnnydepp,,
nayeli.nxx,kimberly.loaiza,,
nayeli.nxx,cristopher_.0,,
nayeli.nxx,samuellopez,,
nayeli.nxx,nexargomez,,
nayeli.nxx,santialarconu,,
nayeli.nxx,kath_.m_,,
nayeli.nxx,charlotte.food.drink,,
nayeli.nxx,jeabello,,
nayeli.nxx,ashleeyramireez,,
nayeli.nxx,4_l_e_x_3,,
nayeli.nxx,neymarjr,,
nayeli.nxx,romeosantos,,
nayeli.nxx,xavioficial,,
nayeli.nxx,mont.pantoja,,
nayeli.nxx,barbie.pvmx,,
nayeli.nxx,b_wlad.exe,,
nayeli.nxx,taylorlautner,,
nayeli.nxx,kinitomendez7908,,
nayeli.nxx,therock,,
nayeli.nxx,faarontavarez,,
nayeli.nxx,mundo.s.a_oficial,,
nayeli.nxx,perfectc_perfumes,,
nayeli.nxx,marilyn_jarrin,,
nayeli.nxx,rodneyand3,,
nayeli.nxx,natalymishu,,
nayeli.nxx,emilydomenicacai,,
nayeli.nxx,celestepame_peke,,
nayeli.nxx,soycintiacossio,,
nayeli.nxx,kevlexd,,
nayeli.nxx,briandadeyanara,,
nayeli.nxx,flor_mpalomeque,,
nayeli.nxx,diego_alexander_07,,
nayeli.nxx,danieljaller,,
nayeli.nxx,lalobrito,,
nayeli.nxx,netflixes,,
