Username,Username_Follower,Num_Followers,First_Digit
teeli__peachmuffin,manal.alharbi92,10000,1
teeli__peachmuffin,obee_gh,16000,1
teeli__peachmuffin,francescosantonicola,7662,7
teeli__peachmuffin,mickeyjohnson_jpeg,9089,9
teeli__peachmuffin,neeta_skincaregh,19300,1
teeli__peachmuffin,drlaff_,30000,3
teeli__peachmuffin,officialdeeliciouseats,102,1
teeli__peachmuffin,wosee_,1867,1
teeli__peachmuffin,appledealergh,,
teeli__peachmuffin,the_lady_233,,
teeli__peachmuffin,ann_marria_,12400,1
teeli__peachmuffin,salimus_natuers_balance,18,1
teeli__peachmuffin,spermzy_essiam,270,2
teeli__peachmuffin,faustinaadoma37,,
teeli__peachmuffin,dimesnco,,
teeli__peachmuffin,fauzitheone.alha,2,2
teeli__peachmuffin,aaliyah.x.xx,576,5
teeli__peachmuffin,itsdamihere,8,8
teeli__peachmuffin,yanerta,,
teeli__peachmuffin,gieisonn,,
teeli__peachmuffin,samyxsam,518,5
teeli__peachmuffin,landyzone4x4,67,6
teeli__peachmuffin,mhayvixx,2650,2
teeli__peachmuffin,ohemaa_baakope1,1508,1
teeli__peachmuffin,_madamshe,,
teeli__peachmuffin,dzi__dzor,37,3
teeli__peachmuffin,stanzy2011,48,4
teeli__peachmuffin,dr.iceberry,209,2
teeli__peachmuffin,joaokialapk,,
teeli__peachmuffin,a__koto,,
teeli__peachmuffin,ghanaman_tv,1048,1
teeli__peachmuffin,mamatiiskitchen,4411,4
teeli__peachmuffin,eyramyaw,1716,1
teeli__peachmuffin,conny_winner,20000,2
teeli__peachmuffin,ball4reese,,
teeli__peachmuffin,nanji_miran,1011,1
teeli__peachmuffin,slippers__hub,3022,3
teeli__peachmuffin,cradleandcuddles_co,222,2
teeli__peachmuffin,ali.n.kefel,94,9
teeli__peachmuffin,_mzasiedu_,604,6
teeli__peachmuffin,andy.morata,51,5
teeli__peachmuffin,teddyyoung9,923,9
teeli__peachmuffin,nbonsra,389,3
teeli__peachmuffin,zelle_allure,2021,2
teeli__peachmuffin,mim_iscloset,,
teeli__peachmuffin,theplushhub,3867,3
teeli__peachmuffin,iam_nayaa_gh,954,9
teeli__peachmuffin,elianita_250,1927,1
teeli__peachmuffin,queen_renee31,,
teeli__peachmuffin,breakvicks,,
